[0226/130058.567:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130110.477:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130121.311:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130149.355:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130200.258:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130211.229:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130222.088:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130234.476:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130245.929:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130256.938:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130308.766:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130319.775:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130333.679:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130345.768:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130356.683:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130410.273:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130421.231:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130438.373:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130449.352:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130501.507:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130512.478:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/130523.387:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131231.732:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131243.692:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131254.484:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131305.315:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131317.366:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131328.202:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131339.895:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131350.893:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131401.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131412.597:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131424.473:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131435.296:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131446.180:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131457.116:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131508.023:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131518.903:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131531.759:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/131545.038:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
